sample_id,mission_day,terrain_type,latitude,longitude,distance_to_rover_m,battery_remaining_pct,comm_delay_s,radiation_msv_h,temperature_c,spectral_ice_index,spectral_metal_index,image_confidence,storage_remaining_kg,sample_mass_g,slope_deg,scientific_value_score,priority_label
AST-0001,1,metalico,7.72348,118.51961,541.97,64.12,8.69,2.039,-36.24,0.553,0.738,0.794,4.08,162.9,12.63,59.01,Alta
AST-0002,17,cratera,8.64825,33.87456,48.86,26.49,8.62,3.176,-55.79,0.076,0.658,0.766,1.88,158.3,10.6,29.29,Media
AST-0003,23,poeira_fina,-25.54441,-91.85229,1777.78,61.27,6.43,2.341,-28.26,0.559,0.614,0.916,6.73,78.9,20.61,40.66,Media
AST-0004,17,gelo_suspeito,13.54783,88.443,1040.78,77.62,9.84,2.815,-68.0,0.768,0.499,0.741,2.98,144.1,0.0,60.8,Alta
AST-0005,12,regolitho,12.23252,-149.58688,425.21,70.12,5.72,1.492,27.27,0.474,0.432,0.86,4.42,177.9,1.93,46.06,Alta
AST-0006,25,poeira_fina,12.78117,98.79042,366.89,100.0,8.2,1.064,-73.81,0.132,0.508,0.712,2.83,77.3,0.0,36.05,Media
AST-0007,12,metalico,-29.81506,32.39468,1470.03,84.52,6.43,4.053,-83.29,0.059,1.0,0.88,2.43,90.3,19.46,43.81,Alta
AST-0008,22,metalico,-3.72128,-140.12989,402.17,88.08,6.29,0.789,-86.74,0.388,0.598,0.904,4.01,109.6,10.32,64.95,Alta
AST-0009,14,regolitho,-6.36754,-151.378,424.18,100.0,1.48,0.825,-63.91,0.253,0.185,0.909,3.47,133.3,17.76,49.98,Alta
AST-0010,1,basalto,-28.9302,90.30108,306.52,75.65,6.05,2.022,-106.15,0.487,0.186,0.952,2.66,183.2,10.24,42.52,Alta
AST-0011,16,cratera,-19.43425,-74.54307,1172.02,64.94,7.54,4.223,-49.75,0.175,0.43,0.822,4.25,127.0,23.9,20.43,Baixa
AST-0012,2,poeira_fina,-4.13262,140.14867,1373.58,79.53,6.58,1.708,-111.35,0.322,0.52,0.926,2.23,148.0,10.11,33.4,Media
AST-0013,28,gelo_suspeito,17.00344,94.34629,604.0,51.93,10.8,2.459,-53.47,0.808,0.096,0.969,4.48,268.5,13.87,55.24,Alta
AST-0014,19,metalico,-18.40565,71.34849,1379.33,63.94,4.93,0.639,-95.84,0.439,0.695,0.667,4.12,92.4,12.84,55.31,Alta
AST-0015,12,cratera,23.08249,-79.70182,906.86,50.34,5.91,2.599,-68.68,0.277,0.318,0.724,0.83,109.1,14.63,21.27,Baixa
AST-0016,15,regolitho,3.20588,75.22003,291.12,69.16,4.72,0.675,-41.07,0.606,0.62,0.625,3.57,182.3,22.79,47.87,Alta
AST-0017,19,basalto,18.22952,161.33317,1696.76,50.27,6.47,2.228,6.51,0.335,0.548,0.907,4.96,199.3,0.0,35.03,Media
AST-0018,8,regolitho,-1.92108,-147.03846,303.81,49.64,8.99,0.782,-88.18,0.174,0.295,0.624,2.81,167.8,10.52,21.54,Baixa
AST-0019,9,metalico,-0.0564,-62.58145,636.15,69.44,10.21,0.882,-62.21,0.302,0.455,0.594,5.02,244.5,12.39,41.03,Media
AST-0020,13,gelo_suspeito,8.38036,-95.51798,605.28,59.52,5.39,1.976,-78.27,0.359,0.316,0.669,4.91,162.5,11.34,57.73,Alta
AST-0021,8,metalico,29.95794,-38.42995,529.5,27.3,5.29,2.529,-82.36,0.291,0.537,0.599,2.88,36.3,8.21,42.84,Alta
